Label (Grouping),State Senate District 1 (2024); Hawaii!!Percent!!Estimate,State Senate District 2 (2024); Hawaii!!Percent!!Estimate,State Senate District 3 (2024); Hawaii!!Percent!!Estimate,State Senate District 4 (2024); Hawaii!!Percent!!Estimate,State Senate District 5 (2024); Hawaii!!Percent!!Estimate,State Senate District 6 (2024); Hawaii!!Percent!!Estimate,State Senate District 7 (2024); Hawaii!!Percent!!Estimate,State Senate District 8 (2024); Hawaii!!Percent!!Estimate,State Senate District 9 (2024); Hawaii!!Percent!!Estimate,State Senate District 10 (2024); Hawaii!!Percent!!Estimate,State Senate District 11 (2024); Hawaii!!Percent!!Estimate,State Senate District 12 (2024); Hawaii!!Percent!!Estimate,State Senate District 13 (2024); Hawaii!!Percent!!Estimate,State Senate District 14 (2024); Hawaii!!Percent!!Estimate,State Senate District 15 (2024); Hawaii!!Percent!!Estimate,State Senate District 16 (2024); Hawaii!!Percent!!Estimate,State Senate District 17 (2024); Hawaii!!Percent!!Estimate,State Senate District 18 (2024); Hawaii!!Percent!!Estimate,State Senate District 19 (2024); Hawaii!!Percent!!Estimate,State Senate District 20 (2024); Hawaii!!Percent!!Estimate,State Senate District 21 (2024); Hawaii!!Percent!!Estimate,State Senate District 22 (2024); Hawaii!!Percent!!Estimate,State Senate District 23 (2024); Hawaii!!Percent!!Estimate,State Senate District 24 (2024); Hawaii!!Percent!!Estimate,State Senate District 25 (2024); Hawaii!!Percent!!Estimate,State House District 1 (2024); Hawaii!!Percent!!Estimate,State House District 2 (2024); Hawaii!!Percent!!Estimate,State House District 3 (2024); Hawaii!!Percent!!Estimate,State House District 4 (2024); Hawaii!!Percent!!Estimate,State House District 5 (2024); Hawaii!!Percent!!Estimate,State House District 6 (2024); Hawaii!!Percent!!Estimate,State House District 7 (2024); Hawaii!!Percent!!Estimate,State House District 8 (2024); Hawaii!!Percent!!Estimate,State House District 9 (2024); Hawaii!!Percent!!Estimate,State House District 10 (2024); Hawaii!!Percent!!Estimate,State House District 11 (2024); Hawaii!!Percent!!Estimate,State House District 12 (2024); Hawaii!!Percent!!Estimate,State House District 13 (2024); Hawaii!!Percent!!Estimate,State House District 14 (2024); Hawaii!!Percent!!Estimate,State House District 15 (2024); Hawaii!!Percent!!Estimate,State House District 16 (2024); Hawaii!!Percent!!Estimate,State House District 17 (2024); Hawaii!!Percent!!Estimate,State House District 18 (2024); Hawaii!!Percent!!Estimate,State House District 19 (2024); Hawaii!!Percent!!Estimate,State House District 20 (2024); Hawaii!!Percent!!Estimate,State House District 21 (2024); Hawaii!!Percent!!Estimate,State House District 22 (2024); Hawaii!!Percent!!Estimate,State House District 23 (2024); Hawaii!!Percent!!Estimate,State House District 24 (2024); Hawaii!!Percent!!Estimate,State House District 25 (2024); Hawaii!!Percent!!Estimate,State House District 26 (2024); Hawaii!!Percent!!Estimate,State House District 27 (2024); Hawaii!!Percent!!Estimate,State House District 28 (2024); Hawaii!!Percent!!Estimate,State House District 29 (2024); Hawaii!!Percent!!Estimate,State House District 30 (2024); Hawaii!!Percent!!Estimate,State House District 31 (2024); Hawaii!!Percent!!Estimate,State House District 32 (2024); Hawaii!!Percent!!Estimate,State House District 33 (2024); Hawaii!!Percent!!Estimate,State House District 34 (2024); Hawaii!!Percent!!Estimate,State House District 35 (2024); Hawaii!!Percent!!Estimate,State House District 36 (2024); Hawaii!!Percent!!Estimate,State House District 37 (2024); Hawaii!!Percent!!Estimate,State House District 38 (2024); Hawaii!!Percent!!Estimate,State House District 39 (2024); Hawaii!!Percent!!Estimate,State House District 40 (2024); Hawaii!!Percent!!Estimate,State House District 41 (2024); Hawaii!!Percent!!Estimate,State House District 42 (2024); Hawaii!!Percent!!Estimate,State House District 43 (2024); Hawaii!!Percent!!Estimate,State House District 44 (2024); Hawaii!!Percent!!Estimate,State House District 45 (2024); Hawaii!!Percent!!Estimate,State House District 46 (2024); Hawaii!!Percent!!Estimate,State House District 47 (2024); Hawaii!!Percent!!Estimate,State House District 48 (2024); Hawaii!!Percent!!Estimate,State House District 49 (2024); Hawaii!!Percent!!Estimate,State House District 50 (2024); Hawaii!!Percent!!Estimate,State House District 51 (2024); Hawaii!!Percent!!Estimate
Without a computer,5.60%,4.60%,3.50%,3.90%,5.30%,3.20%,4.20%,3.00%,2.60%,4.50%,4.70%,4.00%,7.90%,5.20%,2.90%,4.10%,3.20%,2.20%,5.30%,1.80%,2.20%,5.10%,1.70%,3.20%,1.20%,6.00%,4.60%,8.00%,2.10%,6.10%,2.40%,2.40%,3.80%,7.00%,3.80%,2.70%,3.60%,4.70%,3.70%,3.40%,2.20%,3.40%,1.20%,2.80%,3.60%,4.30%,3.20%,7.00%,3.60%,4.00%,4.30%,6.30%,8.80%,4.10%,3.60%,2.40%,3.60%,5.70%,4.30%,6.20%,5.50%,2.90%,1.50%,0.80%,3.30%,0.90%,1.70%,2.10%,3.00%,7.30%,3.50%,1.80%,2.50%,3.30%,2.60%,1.20%
Income in the past 12 months below poverty level,13.10%,19.90%,0.12,9.30%,8.00%,8.20%,11.20%,8.50%,6.30%,10.60%,10.20%,12.40%,13.60%,8.80%,7.90%,4.80%,5.90%,3.70%,8.50%,4.10%,7.40%,14.30%,9.50%,6.70%,5.00%,10.50%,14.00%,15.90%,21.50%,15.50%,8.50%,12.90%,9.00%,9.60%,5.80%,8.50%,9.60%,12.80%,8.60%,8.80%,7.70%,9.10%,3.80%,6.70%,7.50%,9.10%,9.20%,15.00%,12.40%,8.90%,11.20%,7.70%,20.60%,7.70%,8.30%,8.40%,7.30%,4.70%,5.80%,7.30%,9.40%,3.00%,2.90%,5.00%,5.10%,4.50%,7.50%,5.60%,12.10%,16.40%,8.40%,11.60%,6.40%,10.50%,5.10%,6.30%
Education Below Bachelors Degree,66.30%,76.40%,66.60%,65.40%,72.70%,66.20%,68.20%,69.90%,41.50%,55.60%,47.60%,51.50%,64.30%,71.70%,68.20%,59.90%,63.60%,63.30%,75.10%,65.70%,70.70%,82.60%,64.60%,57.80%,48.10%,66.60%,63.50%,77.40%,75.20%,75.00%,58.00%,70.10%,63.90%,75.30%,67.60%,63.80%,66.30%,70.20%,71.20%,67.70%,69.70%,72.40%,41.60%,38.30%,49.70%,52.70%,40.90%,62.50%,52.20%,45.10%,53.30%,54.50%,75.80%,75.70%,75.40%,65.60%,65.10%,54.50%,66.10%,72.50%,79.40%,58.30%,53.30%,67.50%,71.70%,61.30%,76.70%,64.00%,81.00%,83.70%,73.60%,68.00%,55.60%,62.40%,51.40%,55.10%
Public health insurance alone,21.00%,32.50%,28.30%,23.70%,14.90%,18.90%,24.70%,25.30%,12.90%,16.30%,15.70%,18.00%,23.80%,23.40%,16.40%,10.30%,14.90%,11.20%,19.20%,14.20%,19.30%,31.70%,17.30%,13.70%,11.90%,22.40%,19.00%,27.90%,34.40%,32.90%,24.10%,27.30%,22.90%,14.90%,13.10%,19.20%,20.10%,29.30%,20.70%,28.20%,21.90%,25.90%,9.00%,12.20%,15.10%,17.00%,12.10%,18.90%,17.60%,15.00%,19.50%,14.90%,33.40%,25.00%,24.20%,14.30%,12.20%,9.90%,13.00%,16.90%,21.90%,9.50%,10.80%,13.10%,16.70%,13.50%,23.40%,13.30%,26.60%,36.10%,17.40%,20.60%,13.70%,18.00%,11.60%,15.30%
Median income ($),"80,487","63,622","80,199","96,992","102,758","94,701","95,970","97,668","145,792","84,220","90,058","75,933","73,966","104,963","92,806","122,206","119,845","123,157","105,171","133,224","117,119","88,843","94,684","120,165","155,916","85,122","78,260","73,277","57,007","63,656","92,181","98,570","93,638","97,326","107,885","88,408","100,604","91,926","105,701","90,067","100,819","100,637","154,919","157,182","114,920","122,500","105,487","65,875","74,554","91,651","75,389","108,438","57,784","118,510","90,180","93,309","98,889","127,333","109,028","107,485","115,741","125,534","133,504","124,229","128,826","137,950","110,463","122,684","102,378","78,145","87,350","91,236","141,881","125,104","119,619","150,532"
Households Receiving SNAP,20.10%,27.60%,12.40%,10.10%,10.30%,8.40%,12.40%,11.30%,2.90%,7.80%,9.60%,8.20%,15.70%,15.10%,12.10%,4.60%,8.80%,5.80%,16.10%,9.30%,14.80%,27.90%,9.00%,7.50%,6.00%,18.40%,18.20%,27.60%,25.40%,23.60%,6.00%,12.80%,9.30%,8.90%,8.90%,7.70%,9.80%,15.00%,12.30%,10.90%,10.80%,12.30%,2.40%,1.00%,6.90%,7.90%,6.30%,11.60%,6.00%,7.50%,10.80%,7.50%,24.80%,18.30%,19.30%,10.20%,6.00%,4.80%,8.00%,9.30%,23.70%,4.30%,6.10%,8.80%,13.30%,6.80%,19.40%,10.10%,22.20%,31.80%,11.20%,11.30%,5.90%,12.50%,4.60%,10.00%
2024 Primary Turnout (Registered Voters),64.10%,59.70%,60.50%,63.30%,54.80%,51.60%,59.30%,63.40%,69.70%,63.40%,64.90%,59.00%,59.80%,54.80%,52.70%,66.10%,65.10%,65.20%,54.20%,57.40%,58.70%,49.30%,57.10%,65.60%,68.00%,51.30%,49.50%,58.80%,62.50%,62.10%,62.30%,54.70%,58.10%,65.30%,63.40%,59.70%,62.00%,63.60%,66.90%,61.10%,64.80%,67.10%,51.80%,54.00%,49.60%,60.50%,58.10%,58.80%,54.80%,59.00%,59.90%,69.30%,70.70%,47.50%,63.80%,68.40%,57.80%,56.70%,45.20%,58.30%,51.90%,49.60%,67.50%,61.10%,57.00%,57.80%,67.60%,66.90%,66.90%,66.40%,71.30%,71.60%,63.10%,65.30%,47.20%,55.90%
2024 Primary Turnout (Eligible Voters),51.48%,52.71%,54.44%,61.98%,51.15%,50.69%,58.36%,56.86%,65.54%,49.82%,50.73%,47.62%,45.65%,38.70%,28.62%,54.13%,54.37%,55.62%,38.45%,43.95%,45.61%,38.32%,39.05%,47.35%,64.87%,57.84%,56.01%,47.05%,53.50%,54.60%,56.30%,53.40%,61.05%,43.10%,59.37%,54.33%,61.92%,55.07%,45.31%,56.00%,56.30%,58.37%,71.39%,69.68%,54.59%,56.11%,55.28%,38.96%,47.30%,53.55%,48.30%,54.74%,33.60%,36.05%,26.34%,29.83%,38.14%,59.08%,47.27%,46.55%,30.00%,64.54%,60.16%,51.43%,44.38%,41.09%,45.07%,47.43%,39.33%,38.09%,28.40%,45.18%,58.84%,50.71%,46.85%,58.25%
Diff of Eligible and Registered Turnout,12.62%,6.99%,6.06%,1.32%,3.65%,0.91%,0.94%,6.54%,4.16%,13.58%,14.17%,11.38%,14.15%,16.10%,24.08%,11.97%,10.73%,9.58%,15.75%,13.45%,13.09%,10.98%,18.05%,18.25%,3.13%,-6.54%,-6.51%,11.75%,9.00%,7.50%,6.00%,1.30%,-2.95%,22.20%,4.03%,5.37%,0.08%,8.53%,21.59%,5.10%,8.50%,8.73%,-19.59%,-15.68%,-4.99%,4.39%,2.82%,19.84%,7.50%,5.45%,11.60%,14.56%,37.10%,11.45%,37.46%,38.57%,19.66%,-2.38%,-2.07%,11.75%,21.90%,-14.94%,7.34%,9.67%,12.62%,16.71%,22.53%,19.47%,27.57%,28.31%,42.90%,26.42%,4.26%,14.59%,0.35%,-2.35%
Political Career Length of Incumbent,21.3,11.3,7.3,3.3,7.3,19.3,10.7,15.3,13.3,39.3,39.3,7.3,19.3,44.2,23.3,11.3,21.3,17.3,7.3,21.3,1.3,3.3,11.3,17.3,1.3,1.2,1.3,8.3,5.3,5.3,3.3,13.3,7.3,13.1,2.2,3.3,22.2,3.3,3.3,9.3,3,15.3,0.7,15.3,1.3,5.3,3.3,1.3,5.3,1.3,19.3,3.3,13.3,1.3,1.3,15.3,1.3,11.3,13.3,3.3,7.3,3,13.3,3.3,1.3,3.3,3.3,3.3,3.3,1.3,7.3,9.3,7.3,7.3,1.3,5.3